Year,Inflasi
Jan 1979,2.58
Feb 1979,2.34
Mar 1979,0.55
Apr 1979,3.02
May 1979,3.05
Jun 1979,2.32
Jul 1979,2.5
Aug 1979,2.34
Sep 1979,0.74
Oct 1979,0.89
Nov 1979,0.57
Dec 1979,0.87
Jan 1980,1.19
Feb 1980,1.42
Mar 1980,0.22
Apr 1980,1.04
May 1980,3.79
Jun 1980,1.49
Jul 1980,1.1
Aug 1980,1.19
Sep 1980,0.36
Oct 1980,1.69
Nov 1980,2.22
Dec 1980,0.26
Jan 1981,1.31
Feb 1981,0.7
Mar 1981,0.7
Apr 1981,0.93
May 1981,0.15
Jun 1981,0.42
Jul 1981,1.2
Aug 1981,0.51
Sep 1981,-0.19
Oct 1981,1.17
Nov 1981,-0.32
Dec 1981,0.51
Jan 1982,4.7
Feb 1982,0.54
Mar 1982,0.18
Apr 1982,-0.06
May 1982,0.18
Jun 1982,0.33
Jul 1982,1.11
Aug 1982,-0.46
Sep 1982,0.88
Oct 1982,1.24
Nov 1982,0.44
Dec 1982,0.61
Jan 1983,4.59
Feb 1983,0.14
Mar 1983,-0.6
Apr 1983,2.43
May 1983,0.87
Jun 1983,1.58
Jul 1983,0.78
Aug 1983,-0.02
Sep 1983,0.82
Oct 1983,-0.01
Nov 1983,0.28
Dec 1983,0.6
Jan 1984,3.42
Feb 1984,1.66
Mar 1984,0.22
Apr 1984,1.31
May 1984,0.65
Jun 1984,0.28
Jul 1984,0.37
Aug 1984,-0.15
Sep 1984,-0.1
Oct 1984,0.03
Nov 1984,0.03
Dec 1984,1.04
Jan 1985,0.46
Feb 1985,-0.5
Mar 1985,0.55
Apr 1985,2.5
May 1985,0.36
Jun 1985,0.89
Jul 1985,-0.12
Aug 1985,-0.07
Sep 1985,-0.15
Oct 1985,0.08
Nov 1985,0.26
Dec 1985,0.38
Jan 1986,1.26
Feb 1986,0.7
Mar 1986,-0.43
Apr 1986,0.1
May 1986,1.27
Jun 1986,0.23
Jul 1986,-0.2
Aug 1986,0.18
Sep 1986,2.81
Oct 1986,2.03
Nov 1986,0.56
Dec 1986,0.32
Jan 1987,0.35
Feb 1987,1.46
Mar 1987,-0.28
Apr 1987,0.09
May 1987,1.85
Jun 1987,0.31
Jul 1987,0.38
Aug 1987,0.54
Sep 1987,0.71
Oct 1987,1.37
Nov 1987,1.75
Dec 1987,0.37
Jan 1988,0.33
Feb 1988,0.55
Mar 1988,0.06
Apr 1988,0.72
May 1988,0.93
Jun 1988,0.39
Jul 1988,1.11
Aug 1988,0.41
Sep 1988,-0.05
Oct 1988,0.39
Nov 1988,0.44
Dec 1988,0.21
Jan 1989,0.5
Feb 1989,1.27
Mar 1989,0.23
Apr 1989,1.57
May 1989,0.64
Jun 1989,-0.21
Jul 1989,0.45
Aug 1989,0.1
Sep 1989,0.21
Oct 1989,0.75
Nov 1989,0.5
Dec 1989,-0.04
Jan 1990,0.91
Feb 1990,0.99
Mar 1990,-0.39
Apr 1990,1.42
May 1990,0.58
Jun 1990,1.29
Jul 1990,2.21
Aug 1990,0.59
Sep 1990,0.51
Oct 1990,1.03
Nov 1990,0.33
Dec 1990,0.06
Jan 1991,0.76
Feb 1991,0.3
Mar 1991,0.03
Apr 1991,1.89
May 1991,0.18
Jun 1991,0.44
Jul 1991,1.89
Aug 1991,1.9
Sep 1991,0.12
Oct 1991,0.76
Nov 1991,1.06
Dec 1991,0.19
Jan 1992,0.44
Feb 1992,0.26
Mar 1992,0.65
Apr 1992,0.92
May 1992,0.11
Jun 1992,0.65
Jul 1992,0.23
Aug 1992,0.16
Sep 1992,0.2
Oct 1992,0.41
Nov 1992,0.25
Dec 1992,0.66
Jan 1993,2.92
Feb 1993,2.03
Mar 1993,1.49
Apr 1993,0.15
May 1993,0.14
Jun 1993,0.24
Jul 1993,0.67
Aug 1993,0.32
Sep 1993,0.28
Oct 1993,0.59
Nov 1993,0.41
Dec 1993,0.53
Jan 1994,1.25
Feb 1994,1.76
Mar 1994,0.7
Apr 1994,0.24
May 1994,0.52
Jun 1994,0.12
Jul 1994,1.37
Aug 1994,0.89
Sep 1994,0.53
Oct 1994,0.89
Nov 1994,0.45
Dec 1994,0.52
Jan 1995,1.16
Feb 1995,1.31
Mar 1995,0.57
Apr 1995,1.69
May 1995,0.49
Jun 1995,0.16
Jul 1995,0.71
Aug 1995,0.16
Sep 1995,0.38
Oct 1995,0.64
Nov 1995,0.42
Dec 1995,0.79
Jan 1996,2.16
Feb 1996,1.71
Mar 1996,-0.61
Apr 1996,0.78
May 1996,0.06
Jun 1996,-0.07
Jul 1996,0.68
Aug 1996,0.27
Sep 1996,-0.04
Oct 1996,0.41
Nov 1996,0.57
Dec 1996,0.55
Jan 1997,1.03
Feb 1997,1.05
Mar 1997,-0.12
Apr 1997,0.56
May 1997,0.19
Jun 1997,-0.17
Jul 1997,0.66
Aug 1997,0.88
Sep 1997,1.29
Oct 1997,1.99
Nov 1997,1.65
Dec 1997,2.04
Jan 1998,6.88
Feb 1998,12.76
Mar 1998,5.18
Apr 1998,4.7
May 1998,5.24
